select t.OWNER || '|' ||
XDB|include47_TAB$xd|include47_TAB|AFTER EACH ROW||ENABLED
XDB|include66_TAB$xd|include66_TAB|AFTER EACH ROW||ENABLED
XDB|privilege107_TAB$xd|privilege107_TAB|AFTER EACH ROW||ENABLED
XDB|title103_TAB$xd|title103_TAB|AFTER EACH ROW||ENABLED
XDB|title93_TAB$xd|title93_TAB|AFTER EACH ROW||ENABLED
XDB|xdb-log13_TAB$xd|xdb-log13_TAB|AFTER EACH ROW||ENABLED
PRD0_WLS|EXECUTIONINSTANCEDATA_TRG|EXECUTIONINSTANCEDATA|BEFORE EACH ROW||ENABLE
PRD0_WLS|JOBINSTANCEDATA_TRG|JOBINSTANCEDATA|BEFORE EACH ROW||ENABLED
PRD0_WLS|STEPEXECUTIONINSTANCEDATA_TRG|STEPEXECUTIONINSTANCEDATA|BEFORE EACH ROW
PRD0_WLS|TRG_WLS_EVENTS_INSERT|WLS_EVENTS|BEFORE EACH ROW||ENABLED
PRD0_WLS|TRG_WLS_HVST_INSERT|WLS_HVST|BEFORE EACH ROW||ENABLED
PRD1_WLS|EXECUTIONINSTANCEDATA_TRG|EXECUTIONINSTANCEDATA|BEFORE EACH ROW||ENABLE
PRD1_WLS|JOBINSTANCEDATA_TRG|JOBINSTANCEDATA|BEFORE EACH ROW||ENABLED
PRD1_WLS|STEPEXECUTIONINSTANCEDATA_TRG|STEPEXECUTIONINSTANCEDATA|BEFORE EACH ROW
PRD1_WLS|TRG_WLS_EVENTS_INSERT|WLS_EVENTS|BEFORE EACH ROW||ENABLED
PRD1_WLS|TRG_WLS_HVST_INSERT|WLS_HVST|BEFORE EACH ROW||ENABLED
PRD3_WLS|EXECUTIONINSTANCEDATA_TRG|EXECUTIONINSTANCEDATA|BEFORE EACH ROW||ENABLE
PRD3_WLS|JOBINSTANCEDATA_TRG|JOBINSTANCEDATA|BEFORE EACH ROW||ENABLED
PRD3_WLS|STEPEXECUTIONINSTANCEDATA_TRG|STEPEXECUTIONINSTANCEDATA|BEFORE EACH ROW
PRD3_WLS|TRG_WLS_EVENTS_INSERT|WLS_EVENTS|BEFORE EACH ROW||ENABLED
