select t.INDEX_NAME || '|' ||
CAH_ACO_SUN_FK_I|NORMAL|CMO_AGU_HST_SUN|VISIBLE|NONUNIQUE|VALID
CAH_HCT_FK_I|NORMAL|CMO_AGU_HST|VISIBLE|NONUNIQUE|VALID
CAH_HCT_SUN_FK_I|NORMAL|CMO_AGU_HST_SUN|VISIBLE|NONUNIQUE|VALID
CAH_PK|NORMAL|CMO_AGU_HST|VISIBLE|UNIQUE|VALID
CAH_SUN_PK|NORMAL|CMO_AGU_HST_SUN|VISIBLE|UNIQUE|VALID
CAI_AIM_FK_I|NORMAL|CCO_ADM_IPT|VISIBLE|NONUNIQUE|VALID
CAI_ESB_FK_I|NORMAL|CCO_ADM_IPT|VISIBLE|NONUNIQUE|VALID
CAI_PK|NORMAL|CCO_ADM_IPT|VISIBLE|UNIQUE|VALID
CAL_APL_FK_I|NORMAL|CAC_APL|VISIBLE|NONUNIQUE|VALID
CAL_PK|NORMAL|CAC_APL|VISIBLE|UNIQUE|VALID
CAM_ADE_FK_I|NORMAL|CMO_ADE_MVM_CCO_ADM|VISIBLE|NONUNIQUE|VALID
CAM_MVM_CAD_FK_I|NORMAL|CMO_ADE_MVM_CCO_ADM|VISIBLE|NONUNIQUE|VALID
CAM_PK|NORMAL|CMO_ADE_MVM_CCO_ADM|VISIBLE|UNIQUE|VALID
CAN_ASR_FK_I|NORMAL|CMO_ASR_NGC|VISIBLE|NONUNIQUE|VALID
CAN_ETN_FK_I|NORMAL|CMO_ASR_NGC|VISIBLE|NONUNIQUE|VALID
CAN_PK|NORMAL|CMO_ASR_NGC|VISIBLE|UNIQUE|VALID
CAP_DAT_VCT_I|NORMAL|CTS_PAG_DIV|VISIBLE|NONUNIQUE|VALID
CAP_PK|NORMAL|CTS_PAG_DIV|VISIBLE|UNIQUE|VALID
CAR_PK|NORMAL|CMO_ALI_RAM|VISIBLE|UNIQUE|VALID
CAS_ASR_FK_I|NORMAL|CMO_ASR_SCS|VISIBLE|NONUNIQUE|VALID
CAS_PK|NORMAL|CMO_ASR_SCS|VISIBLE|UNIQUE|VALID
CAS_SAI_FK_I|NORMAL|CMO_ASR_SCS|VISIBLE|NONUNIQUE|VALID
CAU_PK|NORMAL|CAU_CNL|VISIBLE|UNIQUE|VALID
CAV_PK|NORMAL|CAN_VND_BK|VISIBLE|UNIQUE|VALID
CBC_PK|NORMAL|CMO_PRD_BNF_CTA|VISIBLE|UNIQUE|VALID
CBD_CBS_FK_I|NORMAL|CTC_BNF_SBG_DTL|VISIBLE|NONUNIQUE|VALID
CBD_PK|NORMAL|CTC_BNF_SBG_DTL|VISIBLE|UNIQUE|VALID
CBL_BSG_FK_I|NORMAL|CMO_BNF_TBL_LMT|VISIBLE|NONUNIQUE|VALID
CBL_PK|NORMAL|CMO_BNF_TBL_LMT|VISIBLE|UNIQUE|VALID
CBL_TLV_FK_I|NORMAL|CMO_BNF_TBL_LMT|VISIBLE|NONUNIQUE|VALID
CBN_BSG_FK_I|NORMAL|CMO_BNF_SBG_NGC|VISIBLE|NONUNIQUE|VALID
CBN_CNO_FK_I|NORMAL|CMO_BNF_SBG_NGC|VISIBLE|NONUNIQUE|VALID
CBN_PK|NORMAL|CMO_BNF_SBG_NGC|VISIBLE|UNIQUE|VALID
CBO_PK|NORMAL|CMO_BNF_CTO|VISIBLE|UNIQUE|VALID
CBR_BSG_FK_I|NORMAL|CMO_BNF_RCL|VISIBLE|NONUNIQUE|VALID
CBR_PK|NORMAL|CMO_BNF_RCL|VISIBLE|UNIQUE|VALID
CBS_BSA_FK_I|NORMAL|CTC_BNF_SBG|VISIBLE|NONUNIQUE|VALID
CBS_CTA_FK_I|NORMAL|CTC_BNF_SBG|VISIBLE|NONUNIQUE|VALID
CBS_EMS_FK_I|NORMAL|CTC_BNF_SBG|VISIBLE|NONUNIQUE|VALID
CBS_PK|NORMAL|CTC_BNF_SBG|VISIBLE|UNIQUE|VALID
CBS_RMO_FK_I|NORMAL|CTC_BNF_SBG|VISIBLE|NONUNIQUE|VALID
CBT_BSG_FK_I|NORMAL|CMO_BNF_TBL_VLC|VISIBLE|NONUNIQUE|VALID
CBT_PK|NORMAL|CMO_BNF_TBL_VLC|VISIBLE|UNIQUE|VALID
CBT_TVV_FK_I|NORMAL|CMO_BNF_TBL_VLC|VISIBLE|NONUNIQUE|VALID
CBV_BSG_FK_I|NORMAL|CMO_BNF_VRS_PRD|VISIBLE|NONUNIQUE|VALID
CBV_PK|NORMAL|CMO_BNF_VRS_PRD|VISIBLE|UNIQUE|VALID
CBV_VPR_FK_I|NORMAL|CMO_BNF_VRS_PRD|VISIBLE|NONUNIQUE|VALID
CCA_CAF_FK_I|NORMAL|CAC_CMO_CAR_APL|VISIBLE|NONUNIQUE|VALID
CCA_PK|NORMAL|CAC_CMO_CAR_APL|VISIBLE|UNIQUE|VALID
CCC_CCE_FK_I|NORMAL|CAC_CMO_CTR_EMP|VISIBLE|NONUNIQUE|VALID
CCC_PK|NORMAL|CAC_CMO_CTR_EMP|VISIBLE|UNIQUE|VALID
