select t.OWNER || '|' ||
SYSMAN|TARGETS_INSERT_TRIGGER|MGMT_TARGETS|BEFORE EACH ROW||ENABLED
SYSMAN|SEV_ANNOTATION_INSERT_TR|MGMT_SEVERITY_ANNOTATION|INSTEAD OF||ENABLED
SYSMAN|SEV_ANNOTATION_DELETE_TR|MGMT_SEVERITY_ANNOTATION|INSTEAD OF||ENABLED
SYSMAN|SPACE_METRICS_PURGE_TRIGGER|MGMT_SPACE_PURGE|INSTEAD OF||ENABLED
SYSTEM|DEF$_PROPAGATOR_TRIG|DEF$_PROPAGATOR|BEFORE STATEMENT||ENABLED
SYSTEM|REPCATLOGTRIG|REPCAT$_REPCATLOG|AFTER STATEMENT||ENABLED
MARES2|TRG_SEQ_TRILHA_AUDITORIA|TRILHA_AUDITORIA_BOLETOS|BEFORE EACH ROW||ENABLE
SYS|AW_DROP_TRG||AFTER EVENT||ENABLED

Executed in 2,688 seconds
spool off
