select t.TABLE_NAME || '|' ||
       s.COLUMN_NAME || '|' ||
       s.DATA_TYPE || '|' ||
	   s.DATA_LENGTH || '|' ||
	   s.DATA_PRECISION || '|' ||
	   t.NUM_ROWS
from DBA_TABLES t,DBA_TAB_COLUMNS s
where t.table_name = s.table_name
and   t.OWNER  = '&schema';
&schema: CRIVOADM
HISTORICO_CRITERIOSUSPEITO|MOTIVOSUSPEITA|VARCHAR2|4000||239
HISTORICO_CRITERIOSUSPEITO|DATA|DATE|7||239
ACESSO_REGIONAL|ID_ACESSO_REGIONAL|NUMBER|22|10|50
ACESSO_REGIONAL|ID_GRUPO|NUMBER|22|10|50
ACESSO_REGIONAL|ID_REGIONAL|NUMBER|22|10|50
ACESSO_GRUPO|ID_ACESSO_GRUPO|NUMBER|22|10|65
ACESSO_GRUPO|ID_GRUPO|NUMBER|22|10|65
ACESSO_GRUPO|ID_GRUPO_USUARIO|NUMBER|22|10|65
ACESSO_GRUPO|ID_REGIONAL|NUMBER|22|10|65
FOTO_ACESSO_REGIONAL|ID_FOTO_ACESSO_REGIONAL|NUMBER|22|10|183
FOTO_ACESSO_REGIONAL|ID_ACESSO_REGIONAL|NUMBER|22|10|183
FOTO_ACESSO_REGIONAL|ID_GRUPO|NUMBER|22|10|183
FOTO_ACESSO_REGIONAL|ID_REGIONAL|NUMBER|22|10|183
FOTO_ACESSO_GRUPO|ID_FOTO_ACESSO_GRUPO|NUMBER|22|10|259
FOTO_ACESSO_GRUPO|ID_ACESSO_GRUPO|NUMBER|22|10|259
FOTO_ACESSO_GRUPO|ID_GRUPO|NUMBER|22|10|259
FOTO_ACESSO_GRUPO|ID_GRUPO_USUARIO|NUMBER|22|10|259
FOTO_ACESSO_GRUPO|ID_REGIONAL|NUMBER|22|10|259
HISTORICO_ACESSO_REGIONAL|ID_FOTO_ACESSO_REGIONAL|NUMBER|22|10|183
HISTORICO_ACESSO_REGIONAL|ID_FOTO_INICIO|NUMBER|22|10|183
HISTORICO_ACESSO_REGIONAL|ID_FOTO_FIM|NUMBER|22|10|183
HISTORICO_ACESSO_GRUPO|ID_FOTO_ACESSO_GRUPO|NUMBER|22|10|259
HISTORICO_ACESSO_GRUPO|ID_FOTO_INICIO|NUMBER|22|10|259
HISTORICO_ACESSO_GRUPO|ID_FOTO_FIM|NUMBER|22|10|259
CRITERIO_PUBLICACAO|ID_CRITERIO_PUBLICACAO|NUMBER|22|10|30
CRITERIO_PUBLICACAO|ID_CRITERIO_REVISAO|NUMBER|22|10|30
CRITERIO_PUBLICACAO|PUBLICACAO|NUMBER|22|10|30
CRITERIO_PUBLICACAO|DATA|DATE|7||30
CRITERIO_PUBLICACAO|ID_FOTO|NUMBER|22|10|30
CRITERIO_PUBLICACAO|NOMEUSUARIO|VARCHAR2|50||30
CRITERIO_PUBLICACAO|ID_CRITERIO|NUMBER|22|10|30
HISTORICOLOGIN|HISTORICOLOGINID|NUMBER|22|10|2934
HISTORICOLOGIN|USERNAME|VARCHAR2|255||2934
HISTORICOLOGIN|GRUPO|VARCHAR2|255||2934
HISTORICOLOGIN|CENTRODECUSTO|VARCHAR2|255||2934
HISTORICOLOGIN|MENSAGEM|VARCHAR2|4000||2934
HISTORICOLOGIN|USERAGENT|VARCHAR2|255||2934
HISTORICOLOGIN|USERHOSTNAME|VARCHAR2|255||2934
HISTORICOLOGIN|USERHOSTADDRESS|VARCHAR2|255||2934
HISTORICOLOGIN|SERVERHOSTNAME|VARCHAR2|255||2934
HISTORICOLOGIN|SUCESSO|NUMBER|22|3|2934
HISTORICOLOGIN|DATA|DATE|7||2934
SUBSCRIPTIONS|TOPIC|VARCHAR2|200||2
SUBSCRIPTIONS|ADDRESS|VARCHAR2|200||2
VERSAO|NUMERO|NUMBER|22|10|1
VERSAO|DATA|DATE|7||1
CRITERIO|CRITERIOID|NUMBER|22|10|156
CRITERIO|NOME|VARCHAR2|100||156
CRITERIO|HASH|CHAR|32||156
CRITERIO|TIPO|NUMBER|22|3|156
CRITERIO_REVISAO|ID_CRITERIO_REVISAO|NUMBER|22|10|496
CRITERIO_REVISAO|ID_FOTO|NUMBER|22|10|496
CRITERIO_REVISAO|ID_CRITERIO|NUMBER|22|10|496
CRITERIO_REVISAO|REVISAO|NUMBER|22|10|496
CRITERIO_REVISAO|DATA|DATE|7||496
CRITERIO_REVISAO|OBSERVACAO|VARCHAR2|50||496
CRITERIO_REVISAO|NOMEUSUARIO|VARCHAR2|50||496
LOGCRITERIOFOTO|ID_LOG_CRITERIO_FOTO|NUMBER|22|10|0
LOGCRITERIOFOTO|ID_LOG|NUMBER|22|10|0
LOGCRITERIOFOTO|ID_FOTO|NUMBER|22|10|0
LOGCRITERIOFOTO|ID_CRITERIO|NUMBER|22|10|0
LOGCRITERIOFOTO|MIGRADO|NUMBER|22|1|0
RECURSOCOMPONENTE|ID_CAMINHO|NUMBER|22|10|19
RECURSOCOMPONENTE|CAMINHO|VARCHAR2|500||19
COMPONENTES|NOME|VARCHAR2|255||708
COMPONENTES|ID_CAMINHO|NUMBER|22|10|708
HISTORICO_VERSOES|ID_FOTO|NUMBER|22|10|0
HISTORICO_VERSOES|DATA|DATE|7||0
HISTORICO_VERSOES|VERSAO|VARCHAR2|10||0
HISTORICO_VERSOES|NOME_SERVIDOR|VARCHAR2|80||0
HISTORICO_VERSOES|ESCAPES|VARCHAR2|500||0
HISTORICO_VERSOES|ACAO|VARCHAR2|50||0
CONFIGGLOBAL|ID_CONFIGGLOBAL|NUMBER|22|10|0
CONFIGGLOBAL|NOME|VARCHAR2|50||0
CONFIGGLOBAL|TEXTO|VARCHAR2|255||0
CONFIGGLOBAL|NUMERO|NUMBER|22|10|0
FOTO_CONFIGGLOBAL|ID_FOTO_CONFIGGLOBAL|NUMBER|22|10|0
FOTO_CONFIGGLOBAL|ID_CONFIGGLOBAL|NUMBER|22|10|0
FOTO_CONFIGGLOBAL|NOME|VARCHAR2|50||0
FOTO_CONFIGGLOBAL|TEXTO|VARCHAR2|255||0
FOTO_CONFIGGLOBAL|NUMERO|NUMBER|22|10|0
HISTORICO_CONFIGGLOBAL|ID_FOTO_CONFIGGLOBAL|NUMBER|22|10|0
HISTORICO_CONFIGGLOBAL|ID_FOTO_INICIO|NUMBER|22|10|0
HISTORICO_CONFIGGLOBAL|ID_FOTO_FIM|NUMBER|22|10|0
ACOMPANHAMENTO_LISTAS|ID_ACOMPANHAMENTO_LISTAS|NUMBER|22|10|0
ACOMPANHAMENTO_LISTAS|NOME|VARCHAR2|50||0
ACOMPANHAMENTO_LISTAS|TIPO|NUMBER|22|10|0
ACOMPANHAMENTO_LISTAS|DIRETORIO|VARCHAR2|255||0
ACOMPANHAMENTO_LISTAS|ID_USUARIO|NUMBER|22|10|0
ACOMPANHAMENTO_LISTAS|STATUS|NUMBER|22|10|0
ACOMPANHAMENTO_LISTAS|LINHAS_PROC|NUMBER|22|10|0
ACOMPANHAMENTO_LISTAS|LINHAS_TOTAL|NUMBER|22|10|0
ACOMPANHAMENTO_LISTAS|LINHAS_INVALIDAS|NUMBER|22|10|0
ACOMPANHAMENTO_LISTAS|DATA_INICIO|DATE|7||0
ACOMPANHAMENTO_LISTAS|DATA_TERMINO|DATE|7||0
ACOMPANHAMENTO_LISTAS|ID_USUARIO_CANCELOU|NUMBER|22|10|0
ACOMPANHAMENTO_LISTAS|SERVIDOR|VARCHAR2|255||0
ACOMPANHAMENTO_LISTAS|ID_MAQUINA|NUMBER|22|10|0
ACOMPANHAMENTO_LISTAS|ID_REGIONAL|NUMBER|22|10|0
ACOMPANHAMENTO_LISTAS|ID_GRUPO|NUMBER|22|10|0
PARAMETROINCREMENTAL|IDPARAMETROINCREMENTAL|NUMBER|22|10|2
PARAMETROINCREMENTAL|NOMECAMPO|VARCHAR2|255||2
LOGPARAMETROINCREMENTAL|ID_LOG|NUMBER|22|10|73378
LOGPARAMETROINCREMENTAL|DATA|DATE|7||73378
