select t.TABLE_NAME || '|' ||
       s.COLUMN_NAME || '|' ||
       s.DATA_TYPE || '|' ||
	   s.DATA_LENGTH || '|' ||
	   s.DATA_PRECISION || '|' ||
	   t.NUM_ROWS
from DBA_TABLES t,DBA_TAB_COLUMNS s
where t.table_name = s.table_name
and   t.OWNER  = '&schema';
&schema: ARISADM
BO_A_AISUBCATEG|ROWKEY|VARCHAR2|255||0
BO_A_AISUBCATEG|ASN|NUMBER|22|10|0
BO_A_AISUBCATEG|ROWSTATE|VARCHAR2|255||0
BO_A_AISUBCATEG|EXPLICIT|NUMBER|22|10|0
BO_A_AISUBCATEG|DUPLICATE|NUMBER|22|10|0
BO_A_AISUBCATEG|CSIGNORE|NUMBER|22|10|0
BO_A_AISUBCATEG|CLANID|NUMBER|22|10|0
BO_A_AISUBCATEG|SVALUE|BLOB|4000||0
BO_A_AITREESUBJECT|ROWKEY|VARCHAR2|255||0
BO_A_AITREESUBJECT|ASN|NUMBER|22|10|0
BO_A_AITREESUBJECT|ROWSTATE|VARCHAR2|255||0
BO_A_AITREESUBJECT|EXPLICIT|NUMBER|22|10|0
BO_A_AITREESUBJECT|DUPLICATE|NUMBER|22|10|0
BO_A_AITREESUBJECT|CSIGNORE|NUMBER|22|10|0
BO_A_AITREESUBJECT|CLANID|NUMBER|22|10|0
BO_A_AITREESUBJECT|SVALUE|BLOB|4000||0
BO_A_ANALYSISTEMPLATE|ROWKEY|VARCHAR2|255||0
BO_A_ANALYSISTEMPLATE|ASN|NUMBER|22|10|0
BO_A_ANALYSISTEMPLATE|ROWSTATE|VARCHAR2|255||0
BO_A_ANALYSISTEMPLATE|EXPLICIT|NUMBER|22|10|0
BO_A_ANALYSISTEMPLATE|DUPLICATE|NUMBER|22|10|0
BO_A_ANALYSISTEMPLATE|CSIGNORE|NUMBER|22|10|0
BO_A_ANALYSISTEMPLATE|CLANID|NUMBER|22|10|0
BO_A_ANALYSISTEMPLATE|SVALUE|BLOB|4000||0
BO_A_BLOCKCXN|ROWKEY|VARCHAR2|255||0
BO_A_BLOCKCXN|ASN|NUMBER|22|10|0
BO_A_BLOCKCXN|ROWSTATE|VARCHAR2|255||0
BO_A_BLOCKCXN|EXPLICIT|NUMBER|22|10|0
BO_A_BLOCKCXN|DUPLICATE|NUMBER|22|10|0
BO_A_BLOCKCXN|CSIGNORE|NUMBER|22|10|0
BO_A_BLOCKCXN|CLANID|NUMBER|22|10|0
BO_A_BLOCKCXN|SVALUE|BLOB|4000||0
BO_A_BOGO|ROWKEY|VARCHAR2|255||0
BO_A_BOGO|ASN|NUMBER|22|10|0
BO_A_BOGO|ROWSTATE|VARCHAR2|255||0
BO_A_BOGO|EXPLICIT|NUMBER|22|10|0
BO_A_BOGO|DUPLICATE|NUMBER|22|10|0
BO_A_BOGO|CSIGNORE|NUMBER|22|10|0
BO_A_BOGO|CLANID|NUMBER|22|10|0
BO_A_BOGO|SVALUE|BLOB|4000||0
COP_A_DELTACFGSETORIGINS|ROWKEY|VARCHAR2|255||0
COP_A_DELTACFGSETORIGINS|ASN|NUMBER|22|10|0
COP_A_DELTACFGSETORIGINS|ROWSTATE|VARCHAR2|255||0
COP_A_DELTACFGSETORIGINS|EXPLICIT|NUMBER|22|10|0
COP_A_DELTACFGSETORIGINS|DUPLICATE|NUMBER|22|10|0
COP_A_DELTACFGSETORIGINS|CSIGNORE|NUMBER|22|10|0
COP_A_DELTACFGSETORIGINS|CLANID|NUMBER|22|10|0
COP_A_DELTACFGSETORIGINS|SVALUE|BLOB|4000||0
COP_A_DELTACONFIGSETS|ROWKEY|VARCHAR2|255||0
COP_A_DELTACONFIGSETS|ASN|NUMBER|22|10|0
COP_A_DELTACONFIGSETS|ROWSTATE|VARCHAR2|255||0
COP_A_DELTACONFIGSETS|EXPLICIT|NUMBER|22|10|0
COP_A_DELTACONFIGSETS|DUPLICATE|NUMBER|22|10|0
COP_A_DELTACONFIGSETS|CSIGNORE|NUMBER|22|10|0
COP_A_DELTACONFIGSETS|CLANID|NUMBER|22|10|0
COP_A_DELTACONFIGSETS|SVALUE|BLOB|4000||0
COP_A_FILEBUNDLESTAGING|ROWKEY|VARCHAR2|255||0
COP_A_FILEBUNDLESTAGING|ASN|NUMBER|22|10|0
COP_A_FILEBUNDLESTAGING|ROWSTATE|VARCHAR2|255||0
COP_A_FILEBUNDLESTAGING|EXPLICIT|NUMBER|22|10|0
COP_A_FILEBUNDLESTAGING|DUPLICATE|NUMBER|22|10|0
COP_A_FILEBUNDLESTAGING|CSIGNORE|NUMBER|22|10|0
COP_A_FILEBUNDLESTAGING|CLANID|NUMBER|22|10|0
COP_A_FILEBUNDLESTAGING|SVALUE|BLOB|4000||0
COP_A_MODSETREL|ROWKEY|VARCHAR2|255||0
COP_A_MODSETREL|ASN|NUMBER|22|10|0
COP_A_MODSETREL|ROWSTATE|VARCHAR2|255||0
COP_A_MODSETREL|EXPLICIT|NUMBER|22|10|0
COP_A_MODSETREL|DUPLICATE|NUMBER|22|10|0
COP_A_MODSETREL|CSIGNORE|NUMBER|22|10|0
