select t.INDEX_NAME || '|' ||
       t.INDEX_TYPE || '|' ||
	   t.TABLE_NAME || '|' ||
	   t.VISIBILITY || '|' ||
       t.UNIQUENESS || '|' ||
	   t.STATUS
from DBA_INDEXES t
where t.OWNER = '&schema';
&schema: ARISADM
IDX_BO_A_AIKPIDEFINITION_AR|NORMAL|BO_A_AIKPIDEFINITION|VISIBLE|NONUNIQUE|VALID
SYS_IL0000109025C00008$$|LOB|BO_A_AIKPIDEFINITION|VISIBLE|UNIQUE|VALID
SYS_C0013199|NORMAL|BO_A_AIKPIDEFINITION|VISIBLE|UNIQUE|VALID
IDX_BO_A_AI_AR|NORMAL|BO_A_AI|VISIBLE|NONUNIQUE|VALID
SYS_IL0000109021C00008$$|LOB|BO_A_AI|VISIBLE|UNIQUE|VALID
SYS_C0013193|NORMAL|BO_A_AI|VISIBLE|UNIQUE|VALID
IDX_BO_A_ACCESSRIGHT_AR|NORMAL|BO_A_ACCESSRIGHT|VISIBLE|NONUNIQUE|VALID
SYS_IL0000109017C00008$$|LOB|BO_A_ACCESSRIGHT|VISIBLE|UNIQUE|VALID
SYS_C0013187|NORMAL|BO_A_ACCESSRIGHT|VISIBLE|UNIQUE|VALID
IDX_BO_ANALYSISTEMPLATE_B|NORMAL|BO_ANALYSISTEMPLATE|VISIBLE|NONUNIQUE|VALID
IDX_BO_ANALYSISTEMPLATE_WA|NORMAL|BO_ANALYSISTEMPLATE|VISIBLE|NONUNIQUE|VALID
SYS_IL0000109205C00004$$|LOB|BO_ANALYSISTEMPLATE|VISIBLE|UNIQUE|VALID
SYS_C0013441|NORMAL|BO_ANALYSISTEMPLATE|VISIBLE|UNIQUE|VALID
IDX_BO_AITREESUBJECT_B|NORMAL|BO_AITREESUBJECT|VISIBLE|NONUNIQUE|VALID
IDX_BO_AITREESUBJECT_WA|NORMAL|BO_AITREESUBJECT|VISIBLE|NONUNIQUE|VALID
SYS_IL0000109201C00004$$|LOB|BO_AITREESUBJECT|VISIBLE|UNIQUE|VALID
SYS_C0013439|NORMAL|BO_AITREESUBJECT|VISIBLE|UNIQUE|VALID
IDX_BO_AISUBCATEG_B|NORMAL|BO_AISUBCATEG|VISIBLE|NONUNIQUE|VALID
IDX_BO_AISUBCATEG_WA|NORMAL|BO_AISUBCATEG|VISIBLE|NONUNIQUE|VALID
SYS_IL0000109197C00004$$|LOB|BO_AISUBCATEG|VISIBLE|UNIQUE|VALID
SYS_C0013437|NORMAL|BO_AISUBCATEG|VISIBLE|UNIQUE|VALID
IDX_BO_AISHEET_B|NORMAL|BO_AISHEET|VISIBLE|NONUNIQUE|VALID
IDX_BO_AISHEET_WA|NORMAL|BO_AISHEET|VISIBLE|NONUNIQUE|VALID
SYS_IL0000109193C00004$$|LOB|BO_AISHEET|VISIBLE|UNIQUE|VALID
SYS_C0013435|NORMAL|BO_AISHEET|VISIBLE|UNIQUE|VALID
IDX_BO_AIKPIDEFINITION_B|NORMAL|BO_AIKPIDEFINITION|VISIBLE|NONUNIQUE|VALID
